Name,Purpose,Cost (USD),Qty,Total (USD),Link,Distributor,
PerfMate for XIAO and QT Py,main board,$4.00,1,$4.00,Link to Listing,the pi hut,✕
STEMMA QT / Qwiic JST-SH 4-pin Cable to Female Jumper Wires,wire,$1.50,1,$1.50,Link to Listing,the pi hut,✕
2000mAh 3.7V LiPo Battery - JST-PH Connector,battery,$13.50,1,$13.50,Link to Listing,the pi hut,✕
Tactile Button switch (6mm) x 20 pack,button,$3.00,1,$3.00,Link to Listing,the pi hut,✕
Waveshare Grey 16x2 I2C LCD Module - 3.3V/5V with Backlight Control,screen,$12.00,1,$12.00,Link to Listing,The pi hut,✕
SparkFun Micro 6DoF IMU Breakout - BMI270,imu,$23.00,1,$23.00,Link to Listing,the pi hut,✕
Seeed XIAO ESP32C3,mcu,$6.70,1,$6.70,Link to Listing,the pi hut,✕
GEPRC GEP-M1025 M10 GPS Module,Gps,$18.50,1,$18.50,Link to Listing,Unmanned Tech,✕
Total Estimated Cost (USD):$82.20,,,,,,,
Estimated cost in bits:83 bits,,,,,,,
